"ang2","ang4","ang6","ang8","ang10","ang12","ang14","ang16","ang18","ang20","dec_ndvi","jan_ndvi","dec_ndii","jan_ndii","delta_ndvi","delta_ndii","wem","pente","courbure","longitude","latitude","altitude","msw_max"
0.0991354281801633,0.133797485720115,0.168296531633639,0.202590534147462,0.236637711302105,0.270396581856772,0.303826015827846,0.336885284599444,0.369534110544958,0.401732716099139,0.340424090623856,0.163869768381119,0.290439009666443,0.11755446344614,-0.176554322242737,-0.172884546220303,310.929302250513,3.8180014711892,1.9263660085174,45.12875,-12.7259722222222,4.43284845352173,53.2673568725586
0.106060697100101,0.14069331380413,0.175154517377432,0.209402322151794,0.24339500245257,0.277091143434983,0.310449691541739,0.34343000452046,0.37599190094001,0.408095709145378,0.339008629322052,0.139203831553459,0.234348297119141,0.0717303901910782,-0.199804797768593,-0.162617906928062,310.591159119654,4.21129711302321,1.74775950327321,45.1290277777778,-12.7259722222222,4.3361234664917,53.2326469421387
0.0978469973849786,0.1324858236464,0.166963236339586,0.201237230048006,0.235266047189832,0.269008228893114,0.30242266550703,0.335468646687667,0.368105910997298,0.400294694956748,0.87765234708786,0.432808548212051,0.526868522167206,0.165896147489548,-0.444843798875809,-0.360972374677658,312.007980443503,4.40362341797406,2.81979374385668,45.1281944444444,-12.72625,5.65834951400757,53.3546447753906
0.0909913355720191,0.125687384979071,0.160230303668183,0.194578006413862,0.228688645831169,0.262520663360317,0.296032839899369,0.329184346023366,0.361934791728695,0.394244275642084,0.84601092338562,0.460634052753448,0.510209441184998,0.18555460870266,-0.385376870632172,-0.324654832482338,311.255810986696,3.3140184033047,2.02513003848018,45.1284722222222,-12.72625,5.52660131454468,53.3199653625488
0.101983948420803,0.136639236745178,0.17112805120724,0.205408372499162,0.239438435329928,0.273176779309908,0.306582299463956,0.339614296311489,0.37223252545254,0.404397246599351,0.771895587444305,0.403866827487946,0.45535734295845,0.136296838521957,-0.36802875995636,-0.319060504436493,310.20823768774,3.8563084825466,1.06244171190204,45.12875,-12.72625,6.81682538986206,53.285285949707
0.109526386677264,0.144144056750603,0.17858610949448,0.21281058257302,0.246775778737652,0.280440316628787,0.313763181192629,0.3467037736517,0.379221960968199,0.411278124739924,0.773862481117249,0.379408568143845,0.455868542194366,0.0777587443590164,-0.394453912973404,-0.37810979783535,310.473371904491,4.39950900302569,0.62945458849426,45.1290277777778,-12.72625,7.63120555877686,53.2506065368652
0.109957787673016,0.144566505485938,0.178999091280689,0.21321359425541,0.247168329308568,0.280821927825825,0.314133388081329,0.347062125191994,0.379568020563935,0.411611470770791,0.809761106967926,0.382261872291565,0.485753536224365,0.0214213747531176,-0.427499234676361,-0.464332161471248,310.680259450489,4.57079253518834,0.634324235073269,45.1293055555556,-12.72625,7.05203485488892,53.2159271240234
0.107368622702567,0.141990820091534,0.176440023538228,0.210674261994743,0.2446518263149,0.278331320070417,0.311671709986081,0.344632375932474,0.377173160415341,0.409254417501313,0.826514303684235,0.388253509998322,0.512957870960236,0.00834910944104195,-0.438260793685913,-0.504608761519194,310.643339637977,4.38701828303118,0.550544133996452,45.1295833333333,-12.72625,7.29687547683716,53.1812438964844
0.101188572686468,0.13583621895308,0.170318369710864,0.204593013770689,0.238618392758371,0.272353051990824,0.305755890982197,0.338786213518493,0.371403777239632,0.403568842668571,0.829503238201141,0.366923660039902,0.525815546512604,-0.0121111897751689,-0.46257957816124,-0.537926736287773,310.860144901583,4.07217953160436,1.03060870209568,45.1298611111111,-12.72625,7.64206600189209,53.1465644836426
0.120397671434711,0.154881962248696,0.189177553249417,0.223242660542073,0.257035781040753,0.290515743033563,0.323641756344005,0.356373462027534,0.388670981542705,0.420494965337041,0.9056636095047,0.371571749448776,0.583547711372375,0.0617975629866123,-0.534091860055923,-0.521750148385763,311.943054612489,6.38195669380576,1.11725596286046,45.1281944444444,-12.7265277777778,9.27337265014648,53.3725090026855
0.113194789805664,0.147771784685035,0.182168742407265,0.216343755577816,0.250255187207397,0.283861721440221,0.317122413891017,0.349996741529449,0.382444652051193,0.414426612675496,0.90516859292984,0.410169035196304,0.585211038589478,0.0849998220801353,-0.494999557733536,-0.500211216509342,311.254438155584,5.07442670884778,1.27682865210868,45.1284722222222,-12.7265277777778,7.05896091461182,53.3378601074219
0.112111481930408,0.146722313764687,0.181154387060483,0.215365751640341,0.249314726226376,0.282959949222493,0.316260429107122,0.349175594375068,0.381665342967645,0.413690091130855,0.889301478862762,0.410055160522461,0.573096394538879,0.0521526373922825,-0.479246318340302,-0.520943757146597,309.769536934135,4.44447330753075,1.17856543777161,45.12875,-12.7265277777778,8.33392429351807,53.3032112121582
0.110553601505717,0.145171252236087,0.179612034157524,0.213833986482453,0.247795415033454,0.281454943041194,0.314771561555649,0.34770467940919,0.380214172670671,0.412260433530257,0.886031568050385,0.369959712028503,0.592331290245056,-0.0176559407263994,-0.516071856021881,-0.609987230971456,310.099456945795,4.35958173242894,2.12950148878797,45.1290277777778,-12.7265277777778,9.26745986938477,53.2685623168945
0.115690336459389,0.150274854972568,0.18467628672303,0.218852718865321,0.252762512681352,0.286364354310761,0.31961730508549,0.352480851407243,0.38491495410707,0.41688009722692,0.885959267616272,0.346043676137924,0.59332400560379,-0.0773055329918861,-0.539915591478348,-0.670629538595676,310.410627317816,4.8450766422167,2.45824556702733,45.1293055555556,-12.7265277777778,9.84905433654785,53.2339134216309
0.110855116389532,0.145451269712232,0.179870213067837,0.214070012275701,0.248009000148565,0.281645827257606,0.314939512310348,0.347849492080052,0.380335670825763,0.412358469142792,0.874389350414276,0.338054060935974,0.578141152858734,-0.0925508514046669,-0.536335289478302,-0.670692004263401,310.866081632927,4.7904440275113,1.78157191913298,45.1295833333333,-12.7265277777778,9.69583129882812,53.1992645263672
0.0903618094947736,0.125038482005264,0.159562814386133,0.193892744056441,0.227986445285002,0.261802380148604,0.29529934913956,0.328436541360967,0.361173584248496,0.393470592758144,0.878095328807831,0.311670362949371,0.577294647693634,-0.117825716733932,-0.566424965858459,-0.695120364427567,311.737635831731,3.85288686125537,1.13457484155714,45.1298611111111,-12.7265277777778,9.28354835510254,53.1646156311035
0.0690225624266175,0.103789210070682,0.138429406549778,0.172900948120409,0.207161836519104,0.241170330130835,0.274884994844743,0.30826475453522,0.341268941106842,0.373857344042175,0.872048020362854,0.296263605356216,0.570600032806396,-0.122745648026466,-0.575784415006638,-0.693345680832863,311.979225448984,2.29278643819934,1.8742180773992,45.1301388888889,-12.7265277777778,8.92326927185059,53.1299667358398
0.0699041784389763,0.104637522777734,0.139243382413162,0.173679595435919,0.207904206624927,0.241875518563352,0.275552142440474,0.308893048477586,0.341857615916454,0.374405682509458,0.910992622375488,0.346528381109238,0.610843360424042,0.0225290022790432,-0.564464241266251,-0.588314358144999,313.297375415839,3.34931085891035,2.60171120612243,45.1281944444444,-12.7268055555556,12.5494327545166,53.3903770446777
0.0796604547162929,0.114366886010535,0.148933978871042,0.183319618619815,0.217481911651522,0.251379236474402,0.284970294419642,0.318214159957439,0.351070330558462,0.383498776039939,0.920795381069183,0.339923441410065,0.630332052707672,0.0059139309450984,-0.580871939659119,-0.624418121762574,312.749391819066,3.59527951008011,1.79536043363372,45.1284722222222,-12.7268055555556,11.000846862793,53.3557586669922
0.0811470849392203,0.115882019899736,0.150475770469261,0.184886189491484,0.219071353171346,0.252989612152725,0.286599642261757,0.319860494853984,0.352731646703963,0.385173049376579,0.923038482666016,0.343551814556122,0.631197810173035,-0.00855794828385115,-0.579486668109894,-0.639755758456886,311.260176975802,2.65575649469568,1.80772983873491,45.12875,-12.7268055555556,10.6305837631226,53.3211402893066
0.0663328469896177,0.101113024285722,0.135770010937002,0.170261582743723,0.204545717038656,0.23858064388523,0.27232489696776,0.30573736411177,0.338777337372841,0.371404562632971,0.922588765621185,0.341890066862106,0.635746717453003,-0.0473132468760014,-0.580698698759079,-0.683059964329004,311.370075324964,1.90712007081358,1.39413585213231,45.1290277777778,-12.7268055555556,12.0181636810303,53.2865219116211
0.0627061548198343,0.0974981208249114,0.132171300388197,0.166683449581389,0.200992520666882,0.235056713326467,0.268834525588575,0.302284804392037,0.335366795724752,0.368040194276172,0.917641222476959,0.323224365711212,0.628847599029541,-0.0968658998608589,-0.594416856765747,-0.7257134988904,311.599568893756,1.63306095388881,1.24070764039207,45.1293055555556,-12.7268055555556,12.4635696411133,53.2518997192383
0.0720292667105933,0.106790742436349,0.141422110092298,0.175881176691507,0.210125959169335,0.244114735533337,0.277806095695085,0.311158991921977,0.344132788847581,0.376687312979566,0.907283961772919,0.299532413482666,0.615501165390015,-0.136194720864296,-0.607751548290253,-0.751695886254311,311.826495790726,2.27945945845686,0.944905081025413,45.1295833333333,-12.7268055555556,12.8683404922485,53.2172813415527
0.0838459944138837,0.118544589541644,0.153098756347442,0.187466395901686,0.221605636529508,0.255474884824951,0.289032876326124,0.322238725789595,0.355051977002762,0.387432652073515,0.903988420963287,0.292366087436676,0.607062637805939,-0.142071425914764,-0.611622333526611,-0.749134063720703,312.084025805138,3.60012870794447,1.4470280292073,45.1298611111111,-12.7268055555556,11.6326379776001,53.1826629638672
0.0881560030110315,0.122829618199956,0.157353584419556,0.191685839535003,0.225784554981915,0.259608186728028,0.293115525888187,0.326265748931037,0.359018467416201,0.391333777201374,0.897714197635651,0.257411330938339,0.593868851661682,-0.0967695936560631,-0.640302866697311,-0.690638445317745,312.03640344081,4.02227271433597,1.06830779284834,45.1301388888889,-12.7268055555556,10.1742925643921,53.1480445861816
0.0702996798684841,0.105032991910438,0.13963833743084,0.174073555146721,0.20829669104963,0.242266049520142,0.275940244127537,0.309278248052798,0.34223944407347,0.374783674049483,0.907869637012482,0.215909525752068,0.603360295295715,-0.0566759705543518,-0.691960111260414,-0.660036265850067,312.690317305,3.32985885343776,1.35704128874249,45.1304166666667,-12.7268055555556,9.06844425201416,53.1134262084961
